"Country.Name","Year","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.","Foreign.direct.investment..net.inflows....of.GDP.","GDP..current.US..","GNI..current.US..","Gross.national.expenditure....of.GDP.","Mobile.cellular.subscriptions","Mobile.cellular.subscriptions..per.100.people.","Individuals.using.the.Internet....of.population.","Access.to.electricity....of.population.","Access.to.electricity..urban....of.urban.population.","Adjusted.savings..net.national.savings....of.GNI.","Employers..total....of.total.employment...modeled.ILO.estimate.","Foreign.direct.investment..net..BoP..current.US..","Labor.force..female....of.total.labor.force.","Urban.population....of.total.population.","Urban.population.growth..annual...","Compulsory.education..duration..years.","Access.to.electricity..rural....of.rural.population.","Fixed.broadband.subscriptions","Fixed.broadband.subscriptions..per.100.people.","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Adjusted.net.national.income..current.US..","Communications..computer..etc.....of.service.imports..BoP.","Cost.of.business.start.up.procedures....of.GNI.per.capita.","GNI..constant.2015.US..","Labor.force.participation.rate.for.ages.15.24..total......national.estimate.","Adjusted.net.national.income.per.capita..annual...growth.","Employment.to.population.ratio..ages.15.24..total......national.estimate.","Gini.index","Poverty.headcount.ratio.at..2.15.a.day..2017.PPP.....of.population.","Poverty.gap.at..2.15.a.day..2017.PPP.....","Labor.force.with.basic.education....of.total.working.age.population.with.basic.education.","Labor.force.with.advanced.education....of.total.working.age.population.with.advanced.education.","School.enrollment..tertiary....gross.","School.enrollment..primary.and.secondary..gross...gender.parity.index..GPI.","Educational.attainment..at.least.completed.lower.secondary..population.25...total......cumulative.","International.tourism..expenditures..current.US..","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Primary.completion.rate..total....of.relevant.age.group.","Adolescents.out.of.school....of.lower.secondary.school.age.","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population."
"Croatia",2011,11.73,1.99,62772620899,60732030050,101.63,5120000,117.54,57.79,100,100,1.04,4.55,-1309375115,45.04,55.32,-0.04,8,100,893000,20.86,19.76,47.1,49987928547,47.55,8.4,49580452822,32.46,-1.38,20.56,32.3,0.6,0.3,28.31,72.42,59.34,1.03,89.22,9.18e+08,739,172.64,97.62,1.07,51.55,64.67
"Croatia",2012,11.14,2.55,57411354938,55493211885,101.51,4970000,114.77,61.94,100,100,-0.36,4.51,-1552272122,45.33,55.51,0.03,8,100,919000,21.58,18.34,45.69,45268731460,46.34,7.1,48399689555,30.09,-3.19,17.43,32.5,0.8,0.5,25.21,73.4,62.03,1.03,90.5,9.62e+08,1336,313.06,98.04,0.94,54.72,70.25
"Croatia",2013,10.43,1.61,59589170668,58464927785,101.82,4720000,109.57,66.75,100,100,1.69,4.39,-986560156.3,45.8,55.71,0.08,8,100,955000,22.5,18.7,46.11,47695172173,46.68,9.1,48975724912,29.87,1.39,14.93,32,0.7,0.4,23.92,72.86,66.71,1.02,91.47,9.23e+08,1689,396.88,97.76,0.66,59.89,74.17
"Croatia",2014,10.22,5.35,59489433515,58628924354,100.14,4460000,104.14,68.57,100,100,2.45,5.22,-936761001.4,46.25,55.92,-0.02,8,100,984000,23.33,18.59,48.54,47505694130,49.1,3.6,49025427221,33.63,-0.02,18.33,32.1,1,0.5,22.75,74.3,68.64,1.02,93.95,8.65e+08,2122,500.66,97.71,0.86,65.55,71.69
"Croatia",2015,9.78,0.07,51011170112,51286961047,99.49,4420000,103.78,69.85,100,100,7.2,5.2,-219175590.6,46.3,56.16,-0.41,8,100,986000,23.57,20.92,51.56,42022305888,51.99,3.4,51286961047,33.19,6.93,19.14,31.1,0.6,0.3,22.8,73.16,68.44,1.03,94.27,7.7e+08,2672,635.65,101.08,,65.41,74.42
"Croatia",2016,9.89,0.83,52740059263,51818349524,98.47,4410000,104.51,72.7,100,100,6.71,5.19,-2224818006,46.04,56.4,-0.26,8,100,1040000,25.23,20.83,47.91,42729714666,48.42,7.4,51942145518,37.24,3.38,25.59,30.9,0.6,0.3,21.05,71.68,69.59,1.03,93.59,9.54e+08,7199,1724.58,97.51,1.1,68.74,76.79
"Croatia",2017,9.56,0.8,56322449844,56139192333,98.93,4320000,102.94,67.1,100,100,8.96,4.96,-1290846445,45.86,56.67,-0.73,8,100,1100000,26.87,20.29,44.93,46809759931,45.36,7.2,54472286613,35.68,7.54,25.92,30.4,0.5,0.3,18.94,72.48,71.38,1.03,93.13,1.41e+09,60251,14607.96,98.41,1.46,60.52,74.17
"Croatia",2018,9.04,2.12,61861145806,61511331814,100.24,4390000,105.48,75.29,100,100,9.03,4.72,-1019694272,46.12,56.95,-0.4,8,100,1130000,28.02,21.59,45.4,51791465921,45.85,6.6,55959976036,33.49,5.02,25.55,29.7,0.4,0.2,17.8,72.24,72.86,1.03,93.1,1.741e+09,79937,19554.81,100.78,,73.33,77.33
"Croatia",2019,9.06,6.37,61867157679,61696451857,99.76,4400000,106.66,79.08,100,100,9.14,4.92,-3860244855,45.8,57.24,-0.04,8,100,1150000,28.97,22.12,45.21,51791357757,45.54,6.2,58056588677,33.2,4.4,27.68,28.9,0.3,0.2,17.79,72.06,74.05,1.04,93.53,1.811e+09,92507,22755.53,99.43,,76.15,82.17
"Cyprus",2008,6.26,44.16,27844698989,27388166105,112.76,1020000,127.59,42.31,100,100,2.8,5.55,2072036810,43.38,67.84,1.5,10,100,147000,18.48,14.3,22.69,24198732793,20.66,14.1,21239631049,41.78,6.01,37.96,31.7,0,0,46.41,85.69,40.85,1,73.99,1.968e+09,,,98.06,3.15,39,45.76
"Cyprus",2009,6.12,248.12,26048249357,25975737408,105.35,977521,119.34,49.81,100,100,4.32,5.15,-2995359578,44.28,67.7,1.47,10,100,176000,21.49,12.57,22.94,22786681993,21.68,11.7,21099221641,40.46,-3.64,34.78,32.1,0.1,0.1,46.53,85.13,47.7,1,74.51,1.742e+09,,,99.68,2.83,46.58,53.31
"Cyprus",2010,6.13,120.28,25799940416,25431297057,108.23,1030000,123.13,52.99,100,100,1.23,4.73,681922528.3,44.82,67.55,1.46,10,100,194000,23.15,10.44,21.17,22304095623,20.28,12.6,21332230861,40.62,-1.82,33.82,31.5,0,0,47.36,84.13,48.31,1.01,75.84,1.32e+09,307,271.76,99.32,3.97,51.31,54.83
"Cyprus",2011,5.98,146.32,27641551807,28366743791,103.71,1090000,126.56,56.86,100,100,4.41,4.53,6927315537,44.92,67.41,1.14,10,100,212000,24.61,10.34,25.87,24997589248,25.41,13.1,22298817717,38.86,1.87,30.15,32.6,0,0,45.34,83.38,46.54,1,77.22,1.366e+09,457,399.1,101.73,4.33,53.25,60.67
"Cyprus",2012,6.03,279.36,25047433100,24872760941,101.79,1110000,128.3,60.69,100,100,-0.12,4.1,5274931528,44.7,67.26,0.78,10,100,221000,25.47,13.21,29.37,21724664919,30.3,12.4,20836732319,39.18,-8.69,28.13,34.3,0,0,42.18,83.99,45.86,1.01,78.7,1.318e+09,1710,1478.53,100.06,1.41,57.82,63.92
"Cyprus",2013,5.36,108.37,23959708956,23645295604,98.33,1100000,128.16,65.45,100,100,-2.07,4.04,3885092659,44.91,67.14,0.71,10,100,229000,26.71,16.09,35.08,20423865009,33.6,12.6,19344284575,38.52,-8.05,23.45,37,0.1,0,40.89,83.75,47.53,1,79.7,1.254e+09,1122,961.47,98.33,0.39,63.81,67.28
"Cyprus",2014,5.29,222.76,23225912185,22592065861,98.94,1110000,131.15,69.33,100,100,-4.43,3.7,14314297363,45.85,67.03,0.7,10,100,244000,28.76,15.1,29.03,19378425512,14.39,13,18728462708,40.37,-2.64,25.82,35.6,0.1,0.1,41.66,84.1,53.1,1,78.96,1.343e+09,2796,2375.54,99.83,0.3,67.72,71.09
"Cyprus",2015,5.45,145.46,19909269064,19774892629,97.24,1110000,130.98,71.72,100,100,-0.14,2.32,15284627941,46.27,66.95,0.74,10,100,261000,30.73,15.8,31.38,17093866473,15.15,12.5,19774892629,37.98,8.24,25.48,34,0,0,39.35,83.91,60.1,1,78.64,1.453e+09,2760,2324.64,96.82,1.87,70.18,73.34
"Cyprus",2016,6.04,40.43,21046452116,20211946791,98.05,1130000,132.64,75.9,100,100,0.91,1.81,-2086206013,45.96,66.88,0.79,10,100,278000,32.58,17.03,27.31,17567581861,10.87,12.2,20361337765,37.22,4.32,26.38,32.9,0,0,38.67,81.93,67.17,0.99,80.31,1559318481,5325,4445.35,98.47,2.31,74.44,77.49
"Cyprus",2017,6.61,62.78,22946583375,22248603082,100.34,1180000,136.17,80.74,100,100,3.73,1.98,-578113094,46.07,66.84,0.82,10,100,296000,34.22,21.42,32.46,19490485911,30.76,12.4,21741278395,36.81,6.39,27.58,31.4,0,0,35.97,81.77,75.94,0.99,80.83,1.378e+09,20484,16949.62,101.27,0.45,80.61,80.88
"Cyprus",2018,7.14,-4.34,25597301191,24660896379,98.59,1200000,137.05,84.43,100,100,3.75,2.17,-6432932085,45.97,66.81,0.81,10,100,314000,35.81,21.53,30.14,21653877830,26.84,11.9,22823061209,39.43,3.64,31.3,32.7,0,0,36.19,81.87,81.34,0.98,81.77,1.569e+09,7578,6217.43,101.88,0.27,84.56,84.3
"Cyprus",2019,6.96,203.63,25947020102,24543810300,98.97,1240000,139.99,86.06,100,100,2.85,1.94,-883119277.3,45.64,66.81,0.81,10,100,327000,36.78,28.47,35.41,21532497305,34.31,5.6,23640917479,38.95,2.27,32.38,31.2,0.2,0.1,37.31,82.88,88.49,0.98,81.83,1.596e+09,9854,8018.97,102.55,0.64,85.85,86.29
"Czechia",2008,11.56,3.72,2.37e+11,2.22e+11,97.84,13800000,132.78,62.97,100,100,7.9,3.57,-2257634944,43.35,73.39,0.74,9,100,1760000,16.95,38.95,41.55,1.75e+11,41.93,9.6,1.65e+11,31.14,0.55,28.07,26.3,0,0,21.51,67.39,57.92,1.01,99.79,5.029e+09,,,101.37,1,60.15,65.82
"Czechia",2009,11.98,2.54,2.07e+11,1.93e+11,96.11,13100000,125.34,64.43,100,100,2.65,3.72,-1951523283,43.37,73.32,0.47,9,100,2040000,19.54,38.89,44.39,1.5e+11,44.7,9.2,1.58e+11,31.84,-6.25,26.54,26.2,0,0,21.93,68.41,61.41,1.01,99.79,4.336e+09,,,100.5,,62.53,66.35
"Czechia",2010,11.98,4.86,2.09e+11,1.93e+11,96.94,12900000,123.6,68.82,100,100,1.86,3.65,-4918465928,43.31,73.26,0.2,9,100,2260000,21.61,39.97,44.77,1.49e+11,45.05,9.3,1.59e+11,30.88,-0.27,25.22,26.6,0,0,21.36,66.68,64.93,1,99.82,4.354e+09,3200,305.51,102.1,,65.93,71.77
"Czechia",2011,11.92,1.82,2.3e+11,2.11e+11,96.22,13200000,125.45,70.49,100,100,1.59,3.61,-2592551186,43.55,73.19,0.11,9,100,2510000,23.91,39.99,45.83,1.62e+11,46.09,8.1,1.59e+11,29.93,-0.47,24.52,26.4,0,0,20.27,67.98,66.8,1,99.82,4.876e+09,4934,470.08,100.54,,67.87,73.18
"Czechia",2012,12.55,4.52,2.09e+11,1.95e+11,95.24,13500000,128.64,73.43,100,100,2.95,3.39,-6180626420,43.76,73.2,0.16,9,100,2660000,25.29,42.11,47.83,1.51e+11,48.03,8.1,1.6e+11,31.27,0.84,25.17,26.1,0,0,20.95,69.84,66.93,1,99.82,4.556e+09,8773,834.67,99.45,,72.4,74.48
"Czechia",2013,12.23,3.48,2.12e+11,1.98e+11,94.31,13700000,130.48,74.11,100,100,2.82,3.37,379979406.5,44.04,73.29,0.16,9,100,2860000,27.17,44.97,46.02,1.53e+11,46.19,7,1.61e+11,31.55,0.65,25.56,26.5,0,0,21.06,71.45,66.32,1,99.8,4.698e+09,11354,1079.87,98.72,0.16,72.95,75.3
"Czechia",2014,12.12,3.86,2.09e+11,1.95e+11,93.67,13900000,132.29,74.23,100,100,4.38,3.46,-4014531794,43.96,73.38,0.23,9,100,2990000,28.48,47.06,46.06,1.5e+11,46.22,6.9,1.66e+11,32.2,3.07,27.09,25.9,0,0,20.77,75.77,67.4,1,99.82,5.173e+09,14921,1417.63,99.31,0.22,71.47,74.35
"Czechia",2015,11.63,0.9,1.88e+11,1.75e+11,94.06,12500000,118.35,75.67,100,100,6.87,3.52,2026234172,44.19,73.48,0.32,9,100,2950000,28,47.23,47,1.36e+11,47.13,6.7,1.75e+11,32.48,6.18,28.39,25.9,0,0,20.63,75.63,67.23,1.01,99.81,4.819e+09,21607,2048.82,97.02,0.28,73.5,77.94
"Czechia",2016,11.62,5.53,1.96e+11,1.83e+11,92.37,12500000,118.59,76.48,100,100,6.16,3.14,-7711369348,44.32,73.57,0.32,9,100,3070000,29.15,47.82,47.88,1.42e+11,48.01,5.7,1.81e+11,31.98,3.15,28.62,25.4,0,0,21.48,75.68,67.51,1.01,99.8,4.962e+09,126705,11991.39,97.68,0.4,74.81,78.23
"Czechia",2017,11.52,5.14,2.19e+11,2.06e+11,92.48,12600000,119.99,78.72,100,100,7.71,3.13,-1834383759,44.44,73.68,0.41,10,100,3150000,29.85,48.24,47.67,1.62e+11,47.8,1,1.9e+11,31.65,6.23,29.14,24.9,0,0,21.32,76.21,67.71,1.01,99.83,5.533e+09,269310,25419.94,97.24,0.26,75.99,81.58
"Czechia",2018,10.59,3.34,2.49e+11,2.35e+11,94.06,12700000,120.6,80.69,100,100,7.52,3.13,-2244655309,44.58,73.79,0.49,10,100,3220000,30.55,48.22,48.08,1.86e+11,48.21,1,1.97e+11,30.41,3.08,28.36,25,0,0,21.03,76.96,66.79,1,99.81,6.074e+09,450120,42344.6,93.69,0.73,78.68,82.81
"Czechia",2019,9.85,4.26,2.53e+11,2.37e+11,94.01,13100000,124.34,80.87,100,100,7.49,3.03,-5975777816,44.53,73.92,0.57,10,100,3740000,35.43,50.49,49.08,1.86e+11,49.19,1.1,2.02e+11,29.71,1.91,28.04,25.3,0,0,22.48,76.24,66.88,1.01,99.81,6.034e+09,599619,56186.87,95.83,1.39,78.33,83.59
"Denmark",2008,5.84,0.62,3.53e+11,3.57e+11,96.48,6560000,119.16,85.02,100,100,8.63,3.99,16554672838,46.79,86.49,0.81,9,100,2010000,36.51,25.71,31.89,2.87e+11,32.03,0,2.91e+11,69.08,-1.2,62.51,25.2,0.1,0.1,51.47,79.79,74.86,1.02,,9.698e+09,,,98.85,1.09,83.58,86.45
"Denmark",2009,5.44,1.17,3.21e+11,3.24e+11,95.5,6830000,123.65,86.84,100,100,4.33,4.05,2390253594,47.07,86.65,0.73,9,100,2020000,36.62,30.39,32.71,2.63e+11,32.89,0,2.75e+11,67.86,-4.64,58.71,26.7,0.5,0.1,50.19,78.61,73.11,1.01,96.91,8.968e+09,,,98.47,1.06,85.77,87.91
"Denmark",2010,5.02,-3.65,3.22e+11,3.27e+11,93.05,6420000,115.67,88.72,100,100,6.81,3.72,11194035264,47.07,86.8,0.61,10,100,2110000,38.08,26.01,30.9,2.67e+11,31.08,0,2.86e+11,63.97,4.33,54,27.2,0.1,0,47.72,78.05,72.5,1.01,96.38,9.082e+09,8810,1588.05,99.31,1.19,88.19,89.24
"Denmark",2011,4.64,3.94,3.44e+11,3.51e+11,93.61,7170000,128.64,89.81,100,100,8,3.72,-435906393,47.17,86.96,0.6,10,100,2140000,38.47,27.47,32.22,2.86e+11,32.38,0,2.89e+11,63.36,0.34,53,27.3,0,0,46.33,78.68,75.93,1.01,96.88,9.84e+09,13192,2368.16,101.05,0.93,88.78,90.84
"Denmark",2012,4.5,-5,3.27e+11,3.35e+11,93.98,7290000,130.21,92.26,100,100,8.02,3.66,5411285381,47.35,87.14,0.59,10,100,2180000,38.98,28.69,33.75,2.73e+11,33.89,0.2,2.91e+11,60.99,0.46,51.35,27.8,0,0,44.77,78.47,77.75,1,99.64,9.6e+09,17135,3064.43,99.65,0.92,91.5,93.03
"Denmark",2013,4.25,0.2,3.44e+11,3.54e+11,93.39,7030000,124.99,94.63,100,100,9.84,3.61,6327998759,47.56,87.29,0.59,10,100,2270000,40.47,27.74,31.38,2.92e+11,31.54,0.2,2.98e+11,58.12,2.8,49.52,28.5,0.3,0.2,43.2,77.59,80.42,1.01,99.58,1.0072e+10,19419,3458.46,99.01,0.74,94.33,94.92
"Denmark",2014,3.83,1.86,3.53e+11,3.66e+11,93.04,7160000,126.72,95.99,100,100,11.71,3.62,3342265730,47.18,87.41,0.64,10,100,2340000,41.49,27.1,31.77,3.03e+11,31.91,0.2,3.06e+11,58.27,3.05,49.98,28.4,0.2,0.1,43.25,77.06,81.31,1.02,91.49,1.0443e+10,24548,4349.8,100.15,0.87,96.15,95.84
"Denmark",2015,3.56,0.61,3.03e+11,3.12e+11,93.21,7080000,124.68,96.33,100,100,11.89,3.68,5642339768,46.88,87.53,0.84,10,100,2400000,42.31,31.1,35.18,2.6e+11,35.3,0.2,3.12e+11,58.45,1.91,51.34,28.2,0.2,0.1,42.54,77.21,83.3,1.02,92.07,8.918e+09,34129,6004.94,99.58,0.72,96.44,96.22
"Denmark",2016,3.51,2.49,3.13e+11,3.21e+11,93.32,6990000,122.4,96.97,100,100,12.67,3.57,10094434247,47.29,87.64,0.91,10,100,2460000,42.97,35.22,39.9,2.68e+11,40.02,0.2,3.19e+11,59.54,1.57,52.29,28.2,0.3,0.2,43.56,76.8,82.17,1.01,92.45,9.174e+09,137709,24041.33,101.49,0.89,97.53,96.41
"Denmark",2017,2.89,1.09,3.32e+11,3.39e+11,92.82,7140000,124.46,97.1,100,100,13.42,3.38,6536057843,47.26,87.76,0.77,10,100,2510000,43.57,34.72,39.57,2.84e+11,39.68,0.2,3.27e+11,60.38,2.04,52.89,28.7,0.1,0.1,43.24,76.9,81.32,1,88.41,9.804e+09,252263,43757.83,101.68,0.71,97.16,97.04
"Denmark",2018,2.5,2.46,3.57e+11,3.67e+11,93.86,7220000,125.14,97.32,100,100,13.02,3.21,-2434129012,47.12,87.87,0.63,10,100,2540000,43.77,36.64,42.22,3.06e+11,42.32,0.2,3.35e+11,60.07,1.56,53.74,28.2,0.2,0.1,42.64,76.83,81.14,1,93.81,1.0485e+10,713512,123154.44,100.41,0.67,97.23,97.41
"Denmark",2019,2.12,-1.1,3.46e+11,3.57e+11,92.93,7240000,124.98,98.05,100,100,12.96,3.4,9775759923,47.03,87.99,0.49,10,100,2540000,43.62,35.08,42.39,2.96e+11,42.48,0.2,3.4e+11,61.13,0.83,54.98,27.7,0.3,0.2,43.23,77.2,81.69,1,89.74,,1612517,277330.58,100.63,0.58,98.06,98.03
"Dominican Republic",2008,105.5,5.67,48122601530,46374384200,113.58,7210000,75.72,20.82,97.6,99.6,16.69,4.52,-2.87e+09,35.83,71.3,3.09,9,92.6,239000,2.5,32.19,13.44,44369979575,17.56,19.4,49363633512,42,3.33,37.55,48.1,5.4,1.4,52.89,81.88,,1.03,52.07,5.32e+08,,,,4.12,,
"Dominican Republic",2009,104.7,3.51,48261078914,46539860373,108.55,8630000,89.45,27.72,97.9,99.7,14.64,4.87,-2165400000,34.63,72.54,3.03,9,92.9,316000,3.26,27.65,12.59,44550379427,18.05,21,49811603462,37.42,2.67,32.73,48.9,4.7,1.2,51.15,79.04,,0.96,53.36,5.23e+08,,,94,8.81,,
"Dominican Republic",2010,109.43,3.38,53860187258,51932987259,110.65,8890000,90.97,31.4,98.1,99.8,14.76,4.07,-2023700000,36.31,73.75,2.97,15,93.6,391000,3.98,8.63,11.65,49567929742,16.11,20.5,53976511284,38.58,5.68,34.4,47.3,3.9,0.9,52.68,81.81,48.6,0.97,54.64,6.62e+08,115,11.76,92.85,7.98,,
"Dominican Republic",2011,109.03,3.79,58029773599,55775273599,110.62,8770000,88.56,38,97.9,99.7,13.44,3.81,-2276700000,37.14,74.83,2.75,15,92.5,424000,4.26,9.61,15.83,53219573897,19.78,19.3,55527509894,40.54,-0.22,34.9,47.7,4.1,1,54.02,81.56,47.65,0.99,56.07,6.89e+08,135,13.63,93,6.92,,
"Dominican Republic",2012,106.09,5.63,60681535653,58281935652,109.22,8930000,89.07,42.32,97.9,99.7,13.94,3.54,-3142400000,37.68,75.8,2.57,15,92.3,484000,4.8,9.69,14.9,55575112510,18.81,18.3,56988876088,41.18,1.59,35.04,46.1,3.8,1,54.52,83.49,48.63,0.99,56.78,6.9e+08,239,23.83,93.46,6.68,,
"Dominican Republic",2013,100.15,2.55,62682159338,59709859337,106.35,9200000,90.58,45.9,98.4,99.9,14.49,4.08,-1990500000,37.72,76.75,2.49,15,93.4,527000,5.17,7.65,13.78,56447619101,18.14,17.3,59297831220,41.05,1.37,33.9,47.7,3,0.8,54.16,82.28,46.36,0.99,57.47,6.79e+08,270,26.58,94.17,2.31,,
"Dominican Republic",2014,97.48,3.55,67179955677,63932555677,105.19,8300000,80.76,49.58,98.5,99.9,15.8,3.65,-2208500000,37.82,77.67,2.42,15,93.6,600000,5.82,7.26,16.8,60364395092,20.86,16.9,63416334575,40.87,5.59,35.38,44.3,3.4,0.8,55.05,79.4,49.32,0.99,58.93,7.17e+08,348,33.85,95.29,2.05,,
"Dominican Republic",2015,95.12,3.13,71164826837,68228426836,104.65,8800000,84.54,54.22,98.6,99.8,17.7,3.22,-2204900000,38.58,78.57,2.34,15,93.9,686000,6.58,7.28,16.48,64844273924,20.35,15.3,68228426836,44.05,9.95,36.77,45.2,2.5,0.6,58.18,84.24,51.75,0.99,60.58,8.03e+08,477,45.84,99.69,1.87,,
"Dominican Republic",2016,91.82,3.32,75704647878,72451547877,103.77,8710000,82.72,63.87,98.9,99.9,18.26,3.39,-2406700000,38.87,79.44,2.26,15,95,761000,7.21,7.53,20.07,68597038096,23.41,14.8,72603088324,44.72,6.05,37.23,45.7,2,0.6,60.63,84.47,54.5,0.99,60.39,8.82e+08,970,92.14,99.43,5.16,,
"Dominican Republic",2017,87.91,4.5,79998046306,76204246305,102.86,8770000,82.36,67.57,100,99.7,18.09,3.33,-3570700000,39.11,80.28,2.18,15,100,821000,7.69,7.41,19.05,71762027829,22.84,14.5,75668612693,43.6,1.44,37.72,42.2,1,0.3,60.07,84.3,59.92,0.99,61.44,9.4e+08,1032,96.93,96.1,7.4,67.84,67.29
"Dominican Republic",2018,83.87,3.21,85555390139,81863690138,104.95,8940000,83.02,74.82,98.9,99.6,19.5,3.27,-2535300000,39.27,81.07,2.09,15,95.9,861000,7.98,8.71,29.74,76696510022,32.46,14.1,81347016271,44.67,4.93,37.98,43.7,0.8,0.2,61.85,83.52,63.15,1,62.7,1.006e+09,1293,120.11,93.78,10.01,75.04,74.6
"Dominican Republic",2019,78.46,3.18,88941372558,84872472559,104.87,8950000,82.23,79.72,99,99.6,19.53,3.19,-3.021e+09,40.16,81.83,2,15,96.3,930000,8.54,8.13,31.83,79201784818,34.58,13.7,85197730068,45.47,3.91,38.2,41.9,0.8,0.2,63.04,84.1,64.38,1.01,64.88,1.06e+09,1215,111.65,93.97,4.98,,
"Ecuador",2008,90.69,1.73,61139438000,59727709000,94.04,11700000,80.6,18.8,97.2,99.6,18.22,5.3,-1057404020,39.39,62.3,2.02,10,93.3,156000,1.07,18.33,18.84,43760426672,20.7,35.3,70150593201,50.78,10.01,46.07,49.8,7.5,2.9,63.25,83.56,38.19,,43.15,7.9e+08,,,,,24.72,26.8
"Ecuador",2009,92.02,0.51,60094978000,58838676000,98.73,13200000,89.82,24.6,96.5,99,14.22,4.22,-308629890.1,39.1,62.5,1.99,10,92.3,241000,1.63,18.42,19.23,48984102424,20.79,35.1,71199413267,47.66,6.36,42.93,48.5,7.3,2.6,60.22,80.64,,1.03,43.12,8.06e+08,,,96.83,16.5,23.85,25.35
"Ecuador",2010,91.86,0.24,68151329000,67123852000,100.81,14800000,98.61,29.03,97.5,99.7,12.51,3.93,-165893320.4,38.6,62.69,1.97,15,93.7,221000,1.47,17.04,14.42,52529830350,16.12,32.6,74514328978,44.69,-1.49,40.48,48.8,5.7,1.9,58.99,79.61,,1.02,44.78,8.63e+08,159,10.61,101.97,13.99,28.21,29.88
"Ecuador",2011,91.28,0.82,78986648000,77743317000,97.81,15300000,100.62,31.37,96.9,99.8,15.91,3.61,-646084358.7,38.4,62.85,1.9,15,91.9,659000,4.3,16.62,12.44,57804657801,15.49,28.8,80752612064,41.75,2.97,37.94,45.9,4.7,1.7,57.1,79.56,,1.02,45.38,9.17e+08,211,13.85,105.23,14.5,30.79,31.97
"Ecuador",2012,90,0.65,87735048000,86468104000,97.34,16500000,106.28,35.14,97.2,99.6,15.59,4,-567417300.9,38.8,62.99,1.82,15,93.1,844000,5.42,14.77,12.93,65344061678,16.05,29.9,85587745985,43,2.79,39.21,46.1,4.5,1.5,57.64,79.89,39.25,1.03,46.87,9.44e+08,371,23.96,105.3,9.75,34.15,36.16
"Ecuador",2013,84.15,0.75,96570334000,95224218000,98.68,16600000,105.74,40.28,98,99.5,15.17,3.44,-727081206.3,38.96,63.13,1.75,15,95.4,1060000,6.7,12.54,13.84,72200234598,17.09,25.3,91808206347,41.11,6.08,37.62,46.9,3.2,1,57.61,79.29,39.77,1.02,47.97,9.89e+08,482,30.66,104.19,3.58,39.19,41.39
"Ecuador",2014,80.12,0.75,1.03e+11,1.01e+11,98.72,16600000,104.06,45.59,99,99.8,14.49,3.36,-772389946.1,38.38,63.26,1.7,15,97.5,1320000,8.23,9.68,14.17,77116284795,17.55,24,95587968334,40.15,3.31,36.52,45,2.6,0.8,57.76,78.43,,1.02,48.91,9.9e+08,665,41.67,105.81,0.64,44.62,46.59
"Ecuador",2015,79.69,1.36,97209558000,95498179000,102.32,12900000,79.92,48.94,98.8,99.9,9.48,3.25,-1322701337,39.83,63.4,1.7,15,97,1490000,9.15,7.43,15.69,78963239413,18.93,22,95498179000,42.78,2.13,39,46,3.4,1.2,61.04,80.41,44.54,1.02,52.23,9.94e+08,1319,81.44,99.28,2.82,48.49,49.41
"Ecuador",2016,75.1,0.78,97671433000,95856552000,99.46,13900000,84.44,54.06,98.7,99.8,9.91,3.3,-764176868.1,41.25,63.53,1.71,15,96.8,1610000,9.75,9.22,20.11,78974082894,22.75,32.4,94964575735,44.81,-14.28,40.17,45,3.6,1.2,63.11,80.74,,1.02,51.98,1.454e+09,1988,120.93,96.73,6.02,53.54,54.6
"Ecuador",2017,72.68,0.6,1.04e+11,1.02e+11,100.65,14700000,87.75,55.8,99.2,100,9.75,3.15,-630838412.3,41.52,63.67,1.77,15,97.8,1780000,10.61,8.36,19.29,80819082075,21.5,34,1e+11,45.24,10.68,41.42,44.7,3.2,1,63.64,80.65,,1.02,52.85,1.463e+09,3524,211.06,98.94,9.79,,
"Ecuador",2018,71.38,1.29,1.07e+11,1.05e+11,100.92,15800000,92.7,57.5,98.7,99.7,8.11,3,-1389282763,41.16,63.82,2.13,15,96.9,1950000,11.46,5.89,19.33,79599885021,21.17,33.3,1.01e+11,44,-4.78,40.5,45.4,3.3,1,62.07,79.38,47.33,1.02,50.99,1.523e+09,4538,266.7,98.38,10.53,,
"Ecuador",2019,67.77,0.91,1.08e+11,1.05e+11,99.99,15900000,91.41,59.2,99.1,99.8,7.8,2.83,-979383496.2,41.4,63.99,2.17,15,97.8,2090000,12.07,7.24,17.72,80158709241,19.39,33,1.01e+11,43.96,-1.12,40.11,45.7,3.6,1.1,61.37,78.32,47.26,1.02,51.84,1.65e+09,5448,314.12,95.77,9.57,,
"Egypt, Arab Rep.",2008,56.96,5.83,1.63e+11,1.64e+11,105.59,41300000,49.24,18.01,99.8,99.9,17.19,15.03,-7574400000,22.86,43.06,1.91,9,99.7,770000,0.9,20.42,27.2,1.36e+11,32.49,44.9,2.64e+11,35.49,1.76,26.6,31.1,2.9,0.4,24.97,76.23,28.99,,,3.39e+09,,,,,,
