"Access.to.electricity....of.population.","Access.to.electricity..rural....of.rural.population.","Access.to.electricity..urban....of.urban.population.","Communications..computer..etc.....of.service.imports..BoP.","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Gini.index","Individuals.using.the.Internet....of.population.","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Poverty.headcount.ratio.at..2.15.a.day..2017.PPP.....of.population.","Poverty.gap.at..2.15.a.day..2017.PPP.....","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population.","Mobile.cellular.subscriptions","Mobile.cellular.subscriptions..per.100.people."
100,100,100,34.5,22.01,34.46,36.2198132780083,79,327,5252.59,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,95656,153.65
100,100,100,30.5,21.76,30.45,36.2198132780083,81.07,384,6039.54,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,96656,152.02
100,100,100,35.29,21.22,35.16,36.2198132780083,43.7411033057851,740,11404.97,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,33.31,21.35,33.18,36.2198132780083,43.7411033057851,1101,16648.02,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,99000,149.7
7.5,4.7,11.9,36.4331785714286,30.4169443207127,34.0576347438753,56.2,1,82041.0339782916,3567.78490926012,61.9,29.7,63.99525,67.5129845422117,570000,12.76
9.4,1.7,21.6,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,1.8,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,863641,18.92
9.8,77.8707367149758,24.9,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,2,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,979232,21.01
10.4,77.8707367149758,26.1,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,2.2,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,992444,20.97
11,0.5,27.1,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,2.4,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1140000,23.95
11.5,0.7,28,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,2.5,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1360000,28.33
12,0.8,28.8,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,2.7,1,0.21,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1160000,24.08
12.7,1.3,29.7,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,2.9,1,0.21,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1240000,25.78
13.4,1.7,30.5,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,3.1,1,0.2,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1250000,25.45
14.1,2.1,31.4,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,4,2,0.4,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1180000,23.52
14.6,2.2,32.2,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,5.1,3,0.59,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1280000,25.11
14.3,1.5,32.1,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,7.51,5,0.96,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1600000,30.62
5.9,2,19.6,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,1.19,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1600000,14.42
6.3,2.2,20.9,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,1.5,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2280000,19.84
6.4,3,18.3,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,1.7,1,0.08,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2880000,24.17
9,7.7,13.6,36.4331785714286,30.4169443207127,34.0576347438753,43.3,1.9,2,0.16,36.6,14.3,63.99525,67.5129845422117,3670000,29.76
7.8,3,24.7,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,2.1,1,0.08,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4400000,34.51
8.1,3,26,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,2.5,2,0.15,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4560000,34.51
8.4,3,27.2,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,2.9,2,0.15,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,5250000,38.34
7.7,0.5,32.4,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,3.5,5,0.35,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,5470000,38.65
9.2,2.8,31.1,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,5.8,5,0.34,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,5590000,38.28
10.9,4.2,33.6,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,6.4,9,0.6,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,6370000,42.22
10.1,2.3,36,36.4331785714286,30.4169443207127,34.0576347438753,37.5,7,7,0.45,30.9,8.4,63.99525,67.5129845422117,6980000,44.76
8.4,77.8707367149758,36.7,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,7.6,11,0.68,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7660000,47.53
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
98.2,89.6,99.5,24.65,13.36,23.41,36.2198132780083,37.3,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,14800000,88.81
99.6,97.7,99.9,28.99,14.41,27.82,47.4,41.56,82041.0339782916,3567.78490926012,1.7,0.6,36.81,40.88,16500000,97.72
99.5,98.3,99.7,26.96,14.65,25.9,36.2198132780083,45,790,46.46,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,19900000,116.75
99.6,97.8,99.9,27.75,14.51,26.69,46.9,52.25,1110,64.63,0.9,0.3,63.99525,67.5129845422117,22300000,129.94
100,100,100,31.87,17.4,30.76,36.2198132780083,55.05,1791,103.28,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,23900000,138.05
99.6,100,99.8,34.92,18.44,33.73,46.8,58,2239,127.87,0.5,0.2,63.99525,67.5129845422117,23700000,135.13
100,100,100,36.89,20.31,35.6,36.2198132780083,61.11,2933,165.83,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,23700000,133.89
99.7,100,99.9,41.8,23.96,40.54,45.3,76.63,4025,225.24,0.4,0.2,74.53,78.71,23200000,129.86
100,100,100,43.01,23.54,41.92,36.2198132780083,83.56,22528,1245.75,5.74672131147541,1.96690573770492,83.66,83.45,23300000,128.86
99.7,100,99.8,41.52,20.22,40.34,45.3,82.33,134062,7298.44,0.4,0.2,80.72,83.99,2.3e+07,125.29
100,100,100,44.66,22.56,43.34,36.2198132780083,84.9,151206,8085.26,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,25200000,134.64
100,100,100,44.54,24.28,43.12,36.2198132780083,85.02,208732,10963.11,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,25100000,131.58
98.8,97.8,100,37.22,50.22,36.85,43,22.6,82041.0339782916,3567.78490926012,17.3,4.8,63.99525,67.5129845422117,6.41e+08,48.21
99.1,98.3,100,35.67,54.28,35.33,36.2198132780083,28.9,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7.47e+08,55.8
99.7,99.4,100,30.05,53.16,29.64,43.7,34.3,1604,1.2,13.4,3.4,63.99525,67.5129845422117,8.59e+08,63.72
99.9,99.8,100,29.99,56.11,29.69,42.4,38.3,2631,1.96,10,2.3,63.99525,67.5129845422117,9.86e+08,72.67
99.9,99.9,100,25.22,53.06,24.94,42.2,42.3,5100,3.77,8.3,1.8,63.99525,67.5129845422117,1.11e+09,81.38
100,100,100,24.78,53.11,24.51,39.7,45.8,6999,5.13,2.7,0.3,63.99525,67.5129845422117,1.23e+09,89.32
100,100,100,18.94,58.09,18.56,39.2,47.9,13314,9.71,1.7,0.2,63.99525,67.5129845422117,1.29e+09,92.85
100,100,100,20.45,57.99,19.98,38.6,50.3,26989,19.56,0.6,0,63.99525,67.5129845422117,1.29e+09,92.7
100,100,100,21.72,58.74,21.15,38.5,53.2,66054,47.6,0.1,0,63.99525,67.5129845422117,1.36e+09,97.36
100,100,100,22.83,60.57,22.26,39.1,54.3,289923,207.65,0,0,63.99525,67.5129845422117,1.47e+09,104.23
100,100,100,23.89,60.76,23.24,38.5,59.2,622142,443.51,0,0,63.99525,67.5129845422117,1.65e+09,116.39
100,100,100,26.17,62.63,25.63,38.2,64.08,1027286,729.74,0,0,63.05,65.07,1.75e+09,122.81
96.8,87,99.7,31.32,31.8,30.69,55.3,25.6,82041.0339782916,3567.78490926012,11,4.3,63.99525,67.5129845422117,41400000,94.41
96.1,83.8,99.6,36.76,30.53,36.29,54.3,30,82041.0339782916,3567.78490926012,9.6,3.6,63.99525,67.5129845422117,42200000,95.14
96.8,86.2,99.8,35.44,30.14,34.91,54.6,36.5,475,10.6,8.3,3,36.13,36.92,44500000,99.24
96.7,85.5,99.8,34.8,26.69,34.31,53.5,40.35,680,15.01,6.8,2.5,40.17,40.54,46200000,101.97
97,87.1,99.7,34.54,30.2,33.92,52.6,48.98,1401,30.6,6.7,2.5,48.27,49.73,49100000,107.17
97.8,90.1,99.8,37.44,31.57,36.93,52.6,51.7,1923,41.59,6.1,2.3,51.15,52.27,50300000,108.77
97.8,89.9,99.8,36.89,30.41,36.39,52.5,52.57,2571,55.08,5.4,2,52.34,52.8,55300000,118.54
98.2,91.8,99.8,36.31,26.85,35.74,51,55.91,3389,71.92,4.9,1.8,55.16,56.68,57300000,121.66
98.4,92.8,99.8,35.83,25.43,35.12,50.6,58.14,15415,323.67,4.9,1.8,58.17,58.1,58700000,123.22
98.5,92.7,99.9,33.98,27.15,33.31,49.7,62.26,22640,468.24,4.3,1.7,62.42,62.1,62200000,128.68
98.5,92.6,99.9,33.44,27.3,32.84,50.4,64.13,32338,656.25,4.5,1.7,64.59,63.65,64500000,130.92
99.4,97.1,100,30.48,25.24,29.95,51.3,65.01,39298,783.03,5.3,2,65.9,64.09,66300000,132.07
57.8,50,78,8.02,21.15,5.3,36.2198132780083,3,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,91741,14.57
60.1,52.5,79.8,5.95,29.11,5.31,36.2198132780083,3.5,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,122596,19.08
69.7,63.7,85,7.06,28.44,6.03,36.2198132780083,5.1,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,165278,25.19
69.3,63.3,84.9,6.07,28.18,5.64,36.2198132780083,5.5,1,1.49,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,216438,32.3
69.3,63.1,85.1,4.53,25.57,4.11,36.2198132780083,5.98,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,283511,41.42
69.4,62.5,87,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,6.5,1,1.43,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,347500,49.69
71.8,65,88.7,11.43,24.07,11.31,45.3,6.98,3,4.2,18.6,6.7,63.99525,67.5129845422117,383000,53.6
74.1,67.6,90.5,18.3,26.23,17.47,36.2198132780083,7.46,1,1.37,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,424786,58.17
76.4,70.1,92.2,16.63,23.93,15.79,36.2198132780083,7.94,47,62.98,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,454389,60.89
78.7,72.6,93.9,17.31,21.99,16.47,36.2198132780083,8.48,4,5.25,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,468914,61.56
81,75.1,95.6,16.73,20.3,15.89,36.2198132780083,43.7411033057851,6,7.73,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,498903,64.27
83.3,77.6,97.3,16.91,18.1,16.07,36.2198132780083,16.38,6,7.59,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,575218,72.72
11.6,77.8707367149758,34.6,32.45,76.57,23.58,36.2198132780083,0.44,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,9940000,15.96
12.3,77.8707367149758,36.2,34.49,68.19,29.66,36.2198132780083,0.56,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,9460000,14.72
13,77.8707367149758,37.8,24.06,50.31,19.02,36.2198132780083,0.72,4,0.06,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,11800000,17.8
13.7,77.8707367149758,39.4,27.61,44.42,20.57,36.2198132780083,1.2,5,0.07,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,15600000,22.79
15.4,77.8707367149758,40.8,35.4,43.03,22.5,42.1,1.68,12,0.17,69.7,32.6,63.99525,67.5129845422117,20100000,28.3
15.2,77.8707367149758,42.5,26.73,32.89,17.64,36.2198132780083,2.2,11,0.15,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,28200000,38.43
13.5,77.8707367149758,42,23.32,21.07,13,36.2198132780083,3,26,0.34,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,37100000,48.8
16.6,1,37.5,28.09,15.45,17.39,36.2198132780083,3.8,39,0.5,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,37800000,48
17.3,1,38.6,43.55,14.87,35.36,36.2198132780083,10.1,50,0.61,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,28900000,35.48
18,1,39.7,22.24,24.08,13.27,36.2198132780083,8.62,208,2.47,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,35400000,41.97
18.7,1,40.8,29.39,8.52,25.77,36.2198132780083,11.7,237,2.72,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,36500000,41.88
19.1,1,41.2,26.32,3.65,21.9,36.2198132780083,16.48,263,2.93,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,37100000,41.29
36.8,8.6,53.8,65.61,38.13,65.55,36.2198132780083,4.29,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1810000,44.19
37.1,9.2,53.6,60.44,48.49,60.17,36.2198132780083,4.5,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2950000,69.25
40,10.7,57.1,66.72,64.08,66.46,36.2198132780083,5,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3720000,83.8
40.8,10.5,58.1,72.66,80.46,72.52,48.9,5.6,1,0.22,35.4,13.8,63.99525,67.5129845422117,3880000,84.74
41.6,10.6,58.9,68.64,54.19,68.48,36.2198132780083,6.11,8,1.7,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4280000,90.87
42.5,10.4,60.1,64.19,64.56,64.03,36.2198132780083,6.6,9,1.86,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4660000,96.51
43.4,10.7,61,68.6,58.24,68.38,36.2198132780083,7.11,15,3.03,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4930000,99.7
44.3,11.1,61.8,67.17,67.86,67.01,36.2198132780083,7.62,18,3.55,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,5220000,102.99
45.3,11.6,62.7,16.34,21.66,15.8,36.2198132780083,8.12,23,4.43,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,5420000,104.57
46.2,11.8,63.6,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,8.65,24,4.52,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,5060000,95.17
47,11.8,64.5,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,32,5.88,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,5e+06,91.89
47.7,11.4,65.3,47.55,56.75,47.14,36.2198132780083,43.7411033057851,33,5.92,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,5110000,91.82
99.3,97.8,99.9,19.31,33.93,18.53,48.6,32.29,82041.0339782916,3567.78490926012,2.4,0.9,30.81,33.81,1890000,41.91
99.4,98.2,99.9,24.32,40.79,23.3,50.6,34.33,82041.0339782916,3567.78490926012,2.5,1.1,63.99525,67.5129845422117,1950000,42.74
99,97.1,99.7,26.02,46.5,25.2,48,36.5,474,102.55,1.5,0.7,63.99525,67.5129845422117,3130000,67.68
99.2,97.3,100,25.84,49.19,24.69,48.8,39.21,639,136.54,1.8,0.6,63.99525,67.5129845422117,4150000,88.74
99.5,98.1,100,27.04,50.03,26.24,48.4,47.5,767,161.93,1.7,0.6,46.47,48.58,5380000,113.54
99.6,98.4,99.9,27.52,49.27,27.08,49.2,45.96,1294,270.06,1.6,0.6,63.99525,67.5129845422117,7110000,148.43
99.4,98.3,99.7,30.92,50.23,30.44,48.6,53,1463,302.01,1.5,0.6,63.99525,67.5129845422117,7020000,144.92
99.4,97.7,99.9,32.45,50.06,32.07,48.4,59.76,1517,309.89,1.6,0.6,59.53,60.01,7540000,153.94
99.5,98.5,99.8,33.69,50.13,33.4,48.7,65.88,2400,485.32,1.3,0.5,66.12,65.62,8330000,168.46
99.6,98.9,99.8,33.3,50.96,33.08,48.3,71.58,5749,1151.22,1.2,0.4,71.65,71.51,8840000,177.02
99.7,98.9,99.9,39.41,51.47,39.1,48,73.48,6029,1196.06,1.5,0.6,73.95,72.98,8500000,168.54
99.7,98.9,99.9,35.97,53.82,35.97,48.2,81.2,6614,1300.81,1.1,0.4,81.97,80.38,7310000,143.77
60.3,35.6,88.8,26.55,53.41,21.8,43.2,1.9,82041.0339782916,3567.78490926012,34.4,12.4,63.99525,67.5129845422117,10400000,51.61
57.3,31,87.2,27.22,50.9,22.56,36.2198132780083,2,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,13200000,63.76
58.4,31.9,87.9,26.81,47.53,20.2,36.2198132780083,2.7,11,0.52,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,15600000,73.86
55.8,26.3,88.1,26.93,51.83,22.33,36.2198132780083,2.9,14,0.65,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,17300000,80.44
55.8,25.8,88.1,21.09,52.26,16.61,36.2198132780083,4.4,39,1.77,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,18100000,82.23
61.5,34.5,89.9,24.34,55.9,20.26,36.2198132780083,6.6,54,2.4,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,19400000,86.3
61.9,34.3,90.6,24.97,55.79,20.64,36.2198132780083,10,78,3.39,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,22100000,96.13
62.6,39.2,86.5,24.6,48.5,20.47,41.5,38.44,117,4.96,33.4,11.2,63.99525,67.5129845422117,25400000,107.67
64.3,36.7,92,36.5,26,33.09,36.2198132780083,41.21,144,5.95,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,27500000,113.37
65.6,38.4,92.5,38.43,26.92,35.48,36.2198132780083,43.84,212,8.53,5.74672131147541,1.96690573770492,26.4,60.2,31700000,127.77
67.1,40.4,93.1,30.89,24.48,29.2,37.2,37.55,292,11.45,11.5,2.4,29.36,45.23,33800000,132.61
68.6,42.1,93.7,32.42,24.4,30.95,36.2198132780083,36.29,1145,43.79,5.74672131147541,1.96690573770492,32.92,39.81,37400000,142.94
100,100,100,50.44,18.77,49.72,36.2198132780083,44.24,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,37.15,51.98,4550000,103.67
100,100,100,48.21,19.56,47.48,32.6,50.58,82041.0339782916,3567.78490926012,0.9,0.6,46.06,55.43,4680000,106.68
100,100,100,49.43,20.35,48.64,32.4,56.55,506,117.8,1.2,0.8,48.28,65.8,4930000,112.81
100,100,100,47.55,19.76,47.1,32.3,57.79,739,172.64,0.6,0.3,51.55,64.67,5120000,117.54
100,100,100,46.34,18.34,45.69,32.5,61.94,1336,313.06,0.8,0.5,54.72,70.25,4970000,114.77
100,100,100,46.68,18.7,46.11,32,66.75,1689,396.88,0.7,0.4,59.89,74.17,4720000,109.57
100,100,100,49.1,18.59,48.54,32.1,68.57,2122,500.66,1,0.5,65.55,71.69,4460000,104.14
100,100,100,51.99,20.92,51.56,31.1,69.85,2672,635.65,0.6,0.3,65.41,74.42,4420000,103.78
100,100,100,48.42,20.83,47.91,30.9,72.7,7199,1724.58,0.6,0.3,68.74,76.79,4410000,104.51
100,100,100,45.36,20.29,44.93,30.4,67.1,60251,14607.96,0.5,0.3,60.52,74.17,4320000,102.94
100,100,100,45.85,21.59,45.4,29.7,75.29,79937,19554.81,0.4,0.2,73.33,77.33,4390000,105.48
100,100,100,45.54,22.12,45.21,28.9,79.08,92507,22755.53,0.3,0.2,76.15,82.17,4400000,106.66
97.3,89.7,99.7,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,12.94,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,331736,2.94
97.6,90.4,99.8,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,14.33,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,621156,5.51
97.8,91.1,99.8,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,15.9,1,0.09,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1e+06,8.88
98,91.8,99.9,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,16.02,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1320000,11.64
98.3,92.7,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,21.2,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1680000,14.87
98.5,93.6,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,27.93,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,29.76,25.09,2e+06,17.63
98.7,94.5,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,29.07,1,0.09,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2530000,22.33
99,95.5,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,37.31,1,0.09,5.74672131147541,1.96690573770492,39.7,34.88,3340000,29.41
99.2,96.4,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,42.98,32,2.82,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3990000,35.16
99.4,97.4,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,57.15,96,8.47,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4610000,40.7
99.6,98.3,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,62.68,182,16.07,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,5370000,47.43
99.8,99.5,99.9,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,67.97,401,35.43,5.74672131147541,1.96690573770492,75.11,60.73,6040000,53.4
99.7,100,99.6,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
99.7,100,99.7,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,201097,128.08
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,204024,128.01
100,100,100,49.58,53.33,49.4,36.2198132780083,43.7411033057851,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,206294,127.6
100,100,100,49.24,49.52,49.09,36.2198132780083,43.7411033057851,2,13.15,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,204702,124.86
100,100,100,49.14,45.35,48.79,36.2198132780083,43.7411033057851,202,1313.21,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,203502,122.49
100,100,100,47.09,45.77,46.95,36.2198132780083,43.7411033057851,227,1455.98,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,192569,114.61
100,100,100,47.03,49.22,46.69,36.2198132780083,43.7411033057851,399,2525.64,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,190489,112.34
100,100,100,44.08,48.82,43.57,36.2198132780083,61.86,465,2912.37,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,186644,109.32
100,100,100,43.84,50.96,43.52,36.2198132780083,68.13,507,3165.29,5.74672131147541,1.96690573770492,68.68,67.45,187184,109.13
100,100,100,46.11,49.99,45.52,36.2198132780083,43.7411033057851,605,3797.01,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,186390,100.9
100,100,100,42.22,42.74,41.25,36.2198132780083,43.7411033057851,647,4109.48,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,184236,95.41
100,100,100,20.66,14.3,22.69,31.7,42.31,82041.0339782916,3567.78490926012,0,0,39,45.76,1020000,127.59
100,100,100,21.68,12.57,22.94,32.1,49.81,82041.0339782916,3567.78490926012,0.1,0.1,46.58,53.31,977521,119.34
